taxID,sciName,HGNC_Symbol,gene_in_dataset
9606,Homo sapiens,POLD1,TRUE
9606,Homo sapiens,EIF4B,TRUE
9606,Homo sapiens,RPL18,TRUE
9606,Homo sapiens,U2AF2,TRUE
9606,Homo sapiens,MED29,TRUE
9606,Homo sapiens,GSC2,TRUE
9606,Homo sapiens,ADCK1,TRUE
9606,Homo sapiens,RNF4,TRUE
9606,Homo sapiens,INTS13,TRUE
9606,Homo sapiens,SPA17,TRUE
9606,Homo sapiens,ST3GAL6,TRUE
9606,Homo sapiens,ATP2C2,TRUE
9606,Homo sapiens,TAF2,TRUE
9606,Homo sapiens,HIPK2,TRUE
9606,Homo sapiens,TNPO3,TRUE
9606,Homo sapiens,LPAR2,TRUE
9606,Homo sapiens,SUGP2,TRUE
9606,Homo sapiens,CNN2,TRUE
9606,Homo sapiens,SNCAIP,TRUE
9606,Homo sapiens,DDX20,TRUE
9606,Homo sapiens,BTBD1,TRUE
9606,Homo sapiens,BCAS1,TRUE
9606,Homo sapiens,CHI3L2,TRUE
9606,Homo sapiens,PMS1,TRUE
9606,Homo sapiens,TAF11,TRUE
9606,Homo sapiens,AP3D1,TRUE
9606,Homo sapiens,ZNF76,TRUE
9606,Homo sapiens,SLC9A3R2,TRUE
9606,Homo sapiens,IPO5,TRUE
9606,Homo sapiens,WDR3,TRUE
9606,Homo sapiens,PKN2,TRUE
9606,Homo sapiens,WDR18,TRUE
9606,Homo sapiens,TRAM2,TRUE
9606,Homo sapiens,MCM10,TRUE
9606,Homo sapiens,DGKA,TRUE
9606,Homo sapiens,ERBB3,TRUE
9606,Homo sapiens,ROPN1,TRUE
9606,Homo sapiens,KARS1,TRUE
9606,Homo sapiens,NDUFB4,TRUE
9606,Homo sapiens,SPEN,TRUE
9606,Homo sapiens,MYLK,TRUE
9606,Homo sapiens,ZC3H15,TRUE
9606,Homo sapiens,MAP2K4,TRUE
9606,Homo sapiens,PACC1,TRUE
9606,Homo sapiens,SLK,TRUE
9606,Homo sapiens,CYB5R4,TRUE
9606,Homo sapiens,COL17A1,TRUE
9606,Homo sapiens,PRKCQ,TRUE
9606,Homo sapiens,TLE2,TRUE
9606,Homo sapiens,TBC1D1,TRUE
9606,Homo sapiens,CDK13,TRUE
9606,Homo sapiens,MTHFD2,TRUE
9606,Homo sapiens,YBX1,TRUE
9606,Homo sapiens,PDE4A,TRUE
9606,Homo sapiens,PPP2R5A,TRUE
9606,Homo sapiens,TIE1,TRUE
9606,Homo sapiens,SMARCD1,TRUE
9606,Homo sapiens,KDM4A,TRUE
9606,Homo sapiens,NFYC,TRUE
9606,Homo sapiens,ASPM,TRUE
9606,Homo sapiens,ELOVL1,TRUE
9606,Homo sapiens,SPI1,TRUE
9606,Homo sapiens,POLR1H,TRUE
9606,Homo sapiens,ZBTB11,TRUE
9606,Homo sapiens,ATXN3,TRUE
9606,Homo sapiens,FGFR2,TRUE
9606,Homo sapiens,ACSM2B,TRUE
9606,Homo sapiens,MTFR1,TRUE
9606,Homo sapiens,STAG3,TRUE
9606,Homo sapiens,FECH,TRUE
9606,Homo sapiens,DDX3Y,TRUE
9606,Homo sapiens,PFKP,TRUE
9606,Homo sapiens,IDI1,TRUE
9606,Homo sapiens,SP100,TRUE
9606,Homo sapiens,TRAM1,TRUE
9606,Homo sapiens,PHKA1,TRUE
9606,Homo sapiens,TNFRSF1A,TRUE
9606,Homo sapiens,CACNB1,TRUE
9606,Homo sapiens,PKM,TRUE
9606,Homo sapiens,DHX29,TRUE
9606,Homo sapiens,DNTTIP2,TRUE
9606,Homo sapiens,TP53BP1,TRUE
9606,Homo sapiens,RRP15,TRUE
9606,Homo sapiens,RHOA,TRUE
9606,Homo sapiens,DHX8,TRUE
9606,Homo sapiens,PRKCZ,TRUE
9606,Homo sapiens,IARS2,TRUE
9606,Homo sapiens,SYT1,TRUE
9606,Homo sapiens,NAV3,TRUE
9606,Homo sapiens,ROCK1,TRUE
9606,Homo sapiens,CBFB,TRUE
9606,Homo sapiens,HDAC4,TRUE
9606,Homo sapiens,RASSF1,TRUE
9606,Homo sapiens,FGFR3,TRUE
9606,Homo sapiens,IFI35,TRUE
9606,Homo sapiens,HEATR6,TRUE
9606,Homo sapiens,COASY,TRUE
9606,Homo sapiens,OTUD5,TRUE
9606,Homo sapiens,ACSL4,TRUE
9606,Homo sapiens,INPP5A,TRUE
9606,Homo sapiens,GPKOW,TRUE
9606,Homo sapiens,FTSJ1,TRUE
9606,Homo sapiens,PRR11,TRUE
9606,Homo sapiens,POLR1A,TRUE
9606,Homo sapiens,TTC7A,TRUE
9606,Homo sapiens,IP6K2,TRUE
9606,Homo sapiens,SRBD1,TRUE
9606,Homo sapiens,RASGRP2,TRUE
9606,Homo sapiens,PSME4,TRUE
9606,Homo sapiens,IFT80,TRUE
9606,Homo sapiens,PPP2R5B,TRUE
9606,Homo sapiens,PYGM,TRUE
9606,Homo sapiens,MAST4,TRUE
9606,Homo sapiens,SDK2,TRUE
9606,Homo sapiens,NUP133,TRUE
9606,Homo sapiens,VPS35,TRUE
9606,Homo sapiens,DNAJA2,TRUE
9606,Homo sapiens,BCL3,TRUE
9606,Homo sapiens,TGFBR3,TRUE
9606,Homo sapiens,ATP1B3,TRUE
9606,Homo sapiens,PIGB,TRUE
9606,Homo sapiens,MAPK6,TRUE
9606,Homo sapiens,UFD1,TRUE
9606,Homo sapiens,LRP6,TRUE
9606,Homo sapiens,GUCY2C,TRUE
9606,Homo sapiens,ELP1,TRUE
9606,Homo sapiens,PTPN3,TRUE
9606,Homo sapiens,FGF10,TRUE
9606,Homo sapiens,SMG6,TRUE
9606,Homo sapiens,EXOC5,TRUE
9606,Homo sapiens,CLTCL1,TRUE
9606,Homo sapiens,DGCR2,TRUE
9606,Homo sapiens,RNF126,TRUE
9606,Homo sapiens,MNT,TRUE
9606,Homo sapiens,JMJD6,TRUE
9606,Homo sapiens,POLB,TRUE
9606,Homo sapiens,FRMPD1,TRUE
9606,Homo sapiens,NDST1,TRUE
9606,Homo sapiens,ASNS,TRUE
9606,Homo sapiens,CNGB1,TRUE
9606,Homo sapiens,ST6GALNAC2,TRUE
9606,Homo sapiens,PABPC1,TRUE
9606,Homo sapiens,TESK2,TRUE
9606,Homo sapiens,CFAP20,TRUE
9606,Homo sapiens,CSNK2A2,TRUE
9606,Homo sapiens,EIF2B3,TRUE
9606,Homo sapiens,CAMK2A,TRUE
9606,Homo sapiens,TCOF1,TRUE
9606,Homo sapiens,CDC42,TRUE
9606,Homo sapiens,ATP2B1,TRUE
9606,Homo sapiens,TRPM5,TRUE
9606,Homo sapiens,MAP4K4,TRUE
9606,Homo sapiens,RPL31,TRUE
9606,Homo sapiens,WDR1,TRUE
9606,Homo sapiens,RPS6KA2,TRUE
9606,Homo sapiens,ING3,TRUE
9606,Homo sapiens,BUD23,TRUE
9606,Homo sapiens,SEL1L,TRUE
9606,Homo sapiens,TRIP13,TRUE
9606,Homo sapiens,ATP6AP1,TRUE
9606,Homo sapiens,TCF3,TRUE
9606,Homo sapiens,DAZAP1,TRUE
9606,Homo sapiens,MBD3,TRUE
9606,Homo sapiens,PRLH,TRUE
9606,Homo sapiens,HLTF,TRUE
9606,Homo sapiens,FAM50A,TRUE
9606,Homo sapiens,CPSF1,TRUE
9606,Homo sapiens,MYO3B,TRUE
9606,Homo sapiens,CYBRD1,TRUE
9606,Homo sapiens,PDCD2,TRUE
9606,Homo sapiens,PRKACA,TRUE
9606,Homo sapiens,ADGRL1,TRUE
9606,Homo sapiens,ACTN1,TRUE
9606,Homo sapiens,RPS6KA6,TRUE
9606,Homo sapiens,LIMS2,TRUE
9606,Homo sapiens,TFRC,TRUE
9606,Homo sapiens,SREBF1,TRUE
9606,Homo sapiens,AFF4,TRUE
9606,Homo sapiens,UBE2D1,TRUE
9606,Homo sapiens,PALS1,TRUE
9606,Homo sapiens,SMC1A,TRUE
9606,Homo sapiens,HSD17B10,TRUE
9606,Homo sapiens,MARK2,TRUE
9606,Homo sapiens,HMMR,TRUE
9606,Homo sapiens,P4HA2,TRUE
9606,Homo sapiens,FCGR2B,TRUE
9606,Homo sapiens,TRNT1,TRUE
9606,Homo sapiens,FBXW11,TRUE
9606,Homo sapiens,DERL2,TRUE
9606,Homo sapiens,NDE1,TRUE
9606,Homo sapiens,AP1M1,TRUE
9606,Homo sapiens,XRCC1,TRUE
9606,Homo sapiens,MCM2,TRUE
9606,Homo sapiens,ALPK1,TRUE
9606,Homo sapiens,NLE1,TRUE
9606,Homo sapiens,SDHA,TRUE
9606,Homo sapiens,SMARCE1,TRUE
9606,Homo sapiens,FNDC8,TRUE
9606,Homo sapiens,ADAM11,TRUE
9606,Homo sapiens,PPP2R3A,TRUE
9606,Homo sapiens,FERMT2,TRUE
9606,Homo sapiens,MAP3K13,TRUE
9606,Homo sapiens,TBX21,TRUE
9606,Homo sapiens,NSF,TRUE
9606,Homo sapiens,GLI2,TRUE
9606,Homo sapiens,CLASP1,TRUE
9606,Homo sapiens,MRPS34,TRUE
9606,Homo sapiens,CLNS1A,TRUE
9606,Homo sapiens,TEAD2,TRUE
9606,Homo sapiens,EED,TRUE
9606,Homo sapiens,SNCB,TRUE
9606,Homo sapiens,TSG101,TRUE
9606,Homo sapiens,ATP2A3,TRUE
9606,Homo sapiens,CA12,TRUE
9606,Homo sapiens,BCS1L,TRUE
9606,Homo sapiens,NUAK1,TRUE
9606,Homo sapiens,ZNF532,TRUE
9606,Homo sapiens,SCARF1,TRUE
9606,Homo sapiens,ENO1,TRUE
9606,Homo sapiens,TUBE1,TRUE
9606,Homo sapiens,TXK,TRUE
9606,Homo sapiens,TACR2,TRUE
9606,Homo sapiens,ACTR6,TRUE
9606,Homo sapiens,SRI,TRUE
9606,Homo sapiens,NUP37,TRUE
9606,Homo sapiens,GTSE1,TRUE
9606,Homo sapiens,CELSR1,TRUE
9606,Homo sapiens,WNT8B,TRUE
9606,Homo sapiens,ZNF638,TRUE
9606,Homo sapiens,VPS9D1,TRUE
9606,Homo sapiens,MARK3,TRUE
9606,Homo sapiens,SLC25A3,TRUE
9606,Homo sapiens,FNDC3B,TRUE
9606,Homo sapiens,FOSL2,TRUE
9606,Homo sapiens,CACNG4,TRUE
9606,Homo sapiens,FRYL,TRUE
